ParName   Value   Gradient
SR_parm[1]       6.5094  9.62139e+13
SR_parm[2]     0.100005  8.19419e+09
recdev1(1994)      -2.3021  2.66887e+11
recdev1(1995)      -2.1239  2.61575e+11
recdev1(1996)     -2.46962  8.87527e+10
recdev1(1997)     -2.14706   1.1484e+11
recdev1(1998)     -2.37228  2.07853e+10
recdev1(1999)    -0.339282  8.87116e+11
recdev1(2000)     -1.60622  8.21506e+10
recdev1(2001)     -1.97007  -2.8302e+10
recdev1(2002)     -1.21169  1.57327e+10
recdev1(2003)     -2.34777 -1.01113e+11
recdev1(2004)    -0.806956 -5.30275e+10
recdev1(2005)      0.25646 -1.19653e+10
recdev1(2006)     0.282837 -6.78243e+10
recdev1(2007)     -4.99948 -2.97575e+09
recdev1(2008)     0.989062 -7.73566e+10
recdev1(2009)     -4.94354 -2.24261e+10
recdev1(2010)     -4.16359  -8.2562e+10
recdev1(2011)      4.47648 -6.02768e+10
recdev1(2012)       4.5109 -6.41774e+10
recdev1(2013)      4.65745 -5.42029e+10
recdev1(2014)      4.65758 -5.41935e+10
recdev1(2015)      4.65762 -5.41903e+10
recdev1(2016)       4.6576 -5.41921e+10
recdev1(2017)      4.65759 -5.41925e+10
Fcast_recruitments(2018)            0 -8.11896e-24
Fcast_recruitments(2019)            0 -9.17219e-24
Fcast_recruitments(2020)            0  8.11951e-25
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Q_parm[1]     -5.29095  -1.8052e+13
