ParName   Value   Gradient
SR_parm[1]      3.12238 -7.20696e+07
SR_parm[2]     0.161013 -5.35784e+07
recdev1(1994)      2.25413  -1.2815e+08
recdev1(1995)     -5.09618       287329
recdev1(1996)     -1.27574  1.36771e+07
recdev1(1997)      2.91048 -9.80264e+06
recdev1(1998)       3.3017 -1.69869e+07
recdev1(1999)     0.892297   1.2055e+07
recdev1(2000)    -0.894731  1.39944e+07
recdev1(2001)     -1.37281  1.38128e+07
recdev1(2002)      2.91521 -5.74514e+07
recdev1(2003)     -1.88156  1.31242e+07
recdev1(2004)     -5.09618       287428
recdev1(2005)      1.28393  1.08252e+07
recdev1(2006)       1.8425   2.0336e+06
recdev1(2007)     0.812821  1.19172e+07
recdev1(2008)    -0.158756  1.41451e+07
recdev1(2009)      1.45947  1.34906e+07
recdev1(2010)     -1.20057  1.40148e+07
recdev1(2011)      0.84504  1.41539e+07
recdev1(2012)      -0.3545  1.44162e+07
recdev1(2013)     -1.33718   1.3986e+07
recdev1(2014)     0.189874   1.4413e+07
recdev1(2015)     0.195343  1.44126e+07
recdev1(2016)    -0.234614   1.4432e+07
Fcast_recruitments(2017)   5.2677e-11  -0.00772494
Fcast_recruitments(2018)  2.89546e-13 -9.50412e-05
Fcast_recruitments(2019)  1.95399e-14 -1.43908e-05
Fcast_recruitments(2020)            0 -9.92056e-08
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Q_parm[1]      0.29977 -3.43992e+08
