ParName   Value   Gradient
SR_parm[1]      7.56078  -5.7594e+06
SR_parm[2]     0.106237  2.16048e+07
recdev1(1994)     -2.03229      -129282
recdev1(1995)      -2.4827 -1.37429e+06
recdev1(1996)      -3.6348 -2.41478e+06
recdev1(1997)     -0.84981  6.18078e+06
recdev1(1998)     -2.30492 -5.18105e+06
recdev1(1999)    -0.233621 -1.63562e+07
recdev1(2000)     -3.34758 -3.54793e+06
recdev1(2001)    -0.480983 -1.07511e+07
recdev1(2002)     -1.54824 -4.92881e+06
recdev1(2003)     -2.19587 -3.85995e+06
recdev1(2004)     0.209561 -3.16221e+06
recdev1(2005)      3.77325  5.63863e+07
recdev1(2006)     -3.88991 -2.71154e+06
recdev1(2007)     0.015053 -2.05625e+06
recdev1(2008)    -0.920662 -3.58007e+06
recdev1(2009)     -4.87583  -1.3552e+06
recdev1(2010)      2.50182      -169350
recdev1(2011)      4.19994       319345
recdev1(2012)     -4.29216 -2.31361e+06
recdev1(2013)      2.66425 -3.42003e+06
recdev1(2014)      4.02185 -2.26508e+06
recdev1(2015)      4.02337 -2.26308e+06
recdev1(2016)      4.02521 -2.26077e+06
recdev1(2017)      3.55406 -2.76316e+06
recdev1(2018)        4.101 -2.16263e+06
Fcast_recruitments(2019)            0  8.15625e-26
Fcast_recruitments(2020)            0 -9.32658e-29
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Q_parm[1]     0.001854 -6.16743e+09
