ParName   Value   Gradient
SR_parm[1]      8.23375  2.00526e+17
SR_parm[2]      1.23627 -4.57974e+15
recdev1(1994)      1.19974 -3.92078e+15
recdev1(1995)      2.29536 -2.16215e+15
recdev1(1996)      3.47869  3.42875e+15
recdev1(1997)     -5.08477  -9.3278e+13
recdev1(1998)    -0.664784 -4.43849e+15
recdev1(1999)      -1.9237  -4.2791e+15
recdev1(2000)      2.52011  1.23298e+15
recdev1(2001)     -5.08477  -9.3252e+13
recdev1(2002)     -2.69907 -3.94342e+15
recdev1(2003)      4.24299  1.86076e+16
recdev1(2004)      4.15175  1.75081e+16
recdev1(2005)    -0.203076  -4.2107e+15
recdev1(2006)      3.45516  7.57248e+15
recdev1(2007)      1.40599 -2.94472e+15
recdev1(2008)      1.93174 -2.44043e+15
recdev1(2009)      2.85516 -1.08891e+15
recdev1(2010)     0.336647 -4.50173e+15
recdev1(2011)      1.04566 -4.42522e+15
recdev1(2012)     -2.69353 -3.97946e+15
recdev1(2013)     -1.95615 -4.32595e+15
recdev1(2014)     -5.08477 -9.33197e+13
recdev1(2015)      1.30329 -4.48114e+15
recdev1(2016)      -1.9921 -4.31241e+15
recdev1(2017)     -5.08477 -9.33197e+13
recdev1(2018)      4.24205 -2.33612e+15
recdev1(2019)     -1.99287 -4.31212e+15
Fcast_recruitments(2020)            0 -4.24035e-30
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Q_parm[1]      1.49805  2.92969e+15
